EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Cur_Bonus,Country,City,EmploymentRating,DaysOfAbsence,EducationLevel,CertificationsEarned,Predicted Bonus
E04087,Adam Kaur,Manager,IT,Corporate,Male,Asian,60,1/29/2000,109059,0.0007,China,Chengdu,6,7,Bachelor's,2,0.195235396587172
E04089,Sebastian Fong,Sr. Manger,IT,Manufacturing,Male,Asian,46,12/16/2017,136716,0.0012,United States,Austin,5,3,Bachelor's,3,0.189201228096563
E04105,Theodore Dinh,Technical Architect,IT,Manufacturing,Male,Asian,59,11/29/1997,99975,0,China,Chongqing,10,8,Bachelor's,2,0.201025152199033
E04109,Leah Bryant,IT Coordinator,IT,Manufacturing,female,Caucasian,55,4/30/2004,40124,0,United States,Austin,5,12,Bachelor's,1,0.200737324945656
E04112,Axel Chu,Systems Analyst,IT,Research & Development,Male,Asian,43,5/4/2018,59888,0,China,Beijing,9,12,Bachelor's,2,0.206271853371846
E04114,Christopher Lim,Director,IT,Research & Development,Male,Asian,55,3/13/2007,184648,0.0024,China,Shanghai,8,11,Bachelor's,0,0.201003366438247
E04116,David Barnes,Enterprise Architect,IT,Corporate,Male,Caucasian,64,11/3/2013,186503,0.0024,United States,Columbus,8,8,Bachelor's,2,0.198917820284371
E04123,Andrew Holmes,Vice President,IT,Speciality Products,Male,Black,59,12/30/2010,246619,0.0036,United States,Miami,10,6,Bachelor's,4,0.200514697827692
E04170,Grayson Chin,Vice President,IT,Research & Development,Male,Asian,26,5/9/2020,256561,0.0039,United States,Austin,7,10,Bachelor's,2,0.201014337892111
E04174,Maverick Henry,Computer Systems Manager,IT,Research & Development,Male,Caucasian,26,7/10/2019,69110,0.0005,United States,Chicago,5,12,Bachelor's,0,0.19941746034879
E04189,Ariana Kim,Network Architect,IT,Manufacturing,Female,Asian,33,6/29/2014,96366,0,China,Chengdu,6,0,Bachelor's,0,0.181570024915688
E04217,Lydia Williams,System Administrator�,IT,Manufacturing,Female,Black,35,10/29/2014,91592,0,United States,Chicago,10,6,Bachelor's,0,0.195235239440229
E04267,Greyson Sanders,Cloud Infrastructure Architect,IT,Speciality Products,Male,Black,28,3/6/2019,90304,0,United States,Chicago,8,2,Master's,0,0.194086471109352
E04285,Riley Padilla,Technical Architect,IT,Manufacturing,Female,Latino,35,5/15/2013,78940,0,United States,Miami,6,8,Bachelor's,3,0.198130352966574
E04290,Hannah Gomez,Technical Architect,IT,Manufacturing,Female,Latino,25,5/11/2021,83934,0,United States,Miami,10,9,Master's,0,0.207219445501767
E04323,Melody Valdez,Director,IT,Manufacturing,Female,Latino,28,1/25/2021,160385,0.0023,United States,Miami,5,12,Bachelor's,0,0.19941746034879
E04378,Ezra Simmons,Network Administrator,IT,Manufacturing,Male,Black,31,5/7/2016,71192,0,United States,Austin,10,15,Bachelor's,3,0.213370659273651
E04380,Naomi Washington,Manager,IT,Speciality Products,Female,Caucasian,51,3/13/2020,107195,0.0009,United States,Austin,10,4,Master's,0,0.199343986589086
E04387,Everleigh White,Network Architect,IT,Speciality Products,Female,Caucasian,59,10/20/2017,86831,0,United States,Phoenix,8,5,Bachelor's,0,0.191552815743031
E04444,Brooklyn Ruiz,IT Coordinator,IT,Manufacturing,Female,Latino,61,8/10/2014,57446,0,United States,Phoenix,6,0,Bachelor's,4,0.186849483303152
E04466,Connor Bell,Network Administrator,IT,Corporate,Male,Black,54,4/1/2000,76352,0,United States,Austin,10,5,Bachelor's,4,0.198939606045156
E04491,Nathan Chan,Cloud Infrastructure Architect,IT,Corporate,Male,Asian,45,3/2/2000,91276,0,United States,Seattle,10,10,Bachelor's,2,0.204175335764105
E04504,Jameson Alvarado,Enterprise Architect,IT,Manufacturing,Male,Latino,47,3/14/1999,92897,0,Brazil,Sao Paulo,6,15,Bachelor's,2,0.207836130847461
E04529,Gabriel Yu,Technical Architect,IT,Speciality Products,Male,Asian,42,6/23/2014,64677,0,China,Chongqing,5,7,Bachelor's,2,0.194181730629841
E04535,Charlotte Vo,System Administrator�,IT,Speciality Products,Female,Asian,57,1/10/2014,74854,0,United States,Seattle,9,2,Bachelor's,0,0.187881206352754
E04538,Adeline Yang,Cloud Infrastructure Architect,IT,Corporate,Female,Asian,53,7/20/2011,86173,0,China,Chongqing,6,13,Bachelor's,0,0.202046218088657
E04546,Jade Hunter,Cloud Infrastructure Architect,IT,Corporate,Female,Caucasian,42,2/5/2020,96636,0,United States,Columbus,5,10,Master's,0,0.203526207497647
E04547,Avery Grant,Enterprise Architect,IT,Research & Development,Female,Caucasian,49,3/5/2014,88777,0,United States,Chicago,6,1,Bachelor's,1,0.18446498129509
E04567,Madeline Hoang,Systems Analyst,IT,Research & Development,Female,Asian,28,10/25/2019,50111,0,China,Chengdu,6,10,Bachelor's,3,0.201280536531646
E04572,Jade Li,Director,IT,Speciality Products,Female,Asian,47,10/26/2012,183156,0.003,United States,Seattle,9,9,Master's,1,0.207485644141301
E04618,Mason Zhao,Technical Architect,IT,Research & Development,Male,Asian,46,10/26/2021,94790,0,China,Chongqing,8,2,Bachelor's,4,0.192106998782886
E04639,Luna Taylor,Network Administrator,IT,Manufacturing,Female,Caucasian,47,7/28/2018,87806,0,United States,Seattle,8,14,Bachelor's,0,0.205728641785855
E04670,Angel Do,IT Systems Architect,IT,Speciality Products,Male,Asian,34,9/20/2019,94735,0,China,Beijing,10,0,PhD,3,0.204262143963469
E04697,Eleanor Williams,Enterprise Architect,IT,Speciality Products,Female,Caucasian,61,2/9/2005,64462,0,United States,Chicago,7,1,Bachelor's,3,0.188158376446153
E04756,Aiden Le,Cloud Infrastructure Architect,IT,Corporate,Male,Asian,55,12/24/1994,99774,0,United States,Austin,5,10,Bachelor's,3,0.200226870574315
E04762,Audrey Richardson,Director,IT,Manufacturing,Female,Caucasian,46,10/6/2018,166259,0.0017,United States,Chicago,8,15,Bachelor's,4,0.212583191955854
E04784,Joshua Lin,Technical Architect,IT,Research & Development,Male,Asian,37,2/5/2016,80055,0,China,Beijing,7,11,Bachelor's,0,0.199949700480916
E04816,Jace Zhang,Service Desk Analyst,IT,Speciality Products,Male,Asian,31,2/14/2017,95963,0,China,Chengdu,6,3,Master's,0,0.193554230977226
E04888,Elijah Henry,Manager,IT,Corporate,Male,Caucasian,32,1/3/2014,127148,0.001,United States,Miami,7,16,Master's,1,0.216403954704391
E04903,Skylar Liu,Director,IT,Research & Development,Female,Asian,29,8/9/2020,161203,0.0015,China,Chengdu,10,3,Master's,4,0.203048353194014
E04925,Athena Jordan,System Administrator�,IT,Manufacturing,Female,Black,42,2/19/2011,72486,0,United States,Seattle,10,5,Master's,2,0.203558807565354
E04931,Zoe Romero,Network Architect,IT,Manufacturing,Female,Latino,32,10/5/2021,88072,0,Brazil,Sao Paulo,7,13,Bachelor's,1,0.204419748642854
E04978,Peyton Harris,Enterprise Architect,IT,Research & Development,Female,Caucasian,45,4/5/2009,64505,0,United States,Miami,6,11,Master's,0,0.206154965237514
E1010,Alia Ahmad,Junior DevOps,IT,Manufacturing,Male,Asian,24,11/29/2010,68000,0.0005,USA,Abu Dhabi,4,5,Bachelor,1,0.188658016510572
